sex,yob,g2000,g2002,g2004,p2000,p2002,p2004,treatment,cluster,voted,hh_id,hh_size,numberofnames,p2004_mean,g2004_mean,voted_ind
female,1964,yes,yes,yes,no,no,Yes,Control,2006,No,36107,2,21,0.5714286,1,0
male,1960,yes,yes,yes,no,yes,No,Control,2006,No,36108,2,21,0.2857143,0.9047619,0
female,1960,yes,yes,yes,yes,yes,No,Control,2006,No,36108,2,21,0.2857143,0.9047619,0
male,1962,yes,yes,yes,no,yes,No,Civic Duty,2021,Yes,36361,2,21,0.5238096,0.952381,1
female,1964,yes,yes,yes,no,yes,Yes,Civic Duty,2021,Yes,36361,2,21,0.5238096,0.952381,1
female,1951,yes,yes,yes,yes,yes,No,Hawthorne,2021,Yes,36362,3,21,0.4761905,1,1
male,1949,yes,yes,yes,yes,yes,No,Hawthorne,2021,Yes,36362,3,21,0.4761905,1,1
male,1978,no,no,yes,no,no,No,Hawthorne,2021,No,36362,3,21,0.4761905,1,0
male,1942,yes,yes,yes,no,no,Yes,Control,2021,Yes,36363,2,21,0.4285714,0.952381,1
female,1949,yes,yes,yes,no,no,Yes,Control,2021,No,36363,2,21,0.4285714,0.952381,0
male,1961,yes,no,yes,no,no,No,Control,2021,No,36364,2,21,0.3809524,0.8571429,0
female,1961,yes,yes,yes,no,yes,No,Control,2021,No,36364,2,21,0.3809524,0.8571429,0
male,1949,yes,yes,yes,no,yes,No,Control,2021,No,36365,1,21,0.4285714,0.9047619,0
female,1965,yes,yes,yes,no,no,No,Hawthorne,2021,No,36366,2,21,0.5714286,0.9047619,0
male,1964,yes,yes,yes,no,no,No,Hawthorne,2021,No,36366,2,21,0.5714286,0.9047619,0
male,1956,yes,no,yes,no,no,No,Control,2021,No,36367,2,21,0.4285714,0.8095238,0
female,1956,yes,yes,yes,no,yes,Yes,Control,2021,No,36367,2,21,0.4285714,0.8095238,0
female,1965,yes,yes,yes,no,yes,Yes,Neighbors,2021,Yes,36368,2,21,0.5238096,0.8571429,1
male,1966,yes,yes,yes,no,yes,Yes,Neighbors,2021,Yes,36368,2,21,0.5238096,0.8571429,1
female,1953,yes,no,yes,no,no,No,Control,2021,No,36369,3,21,0.3333333,0.9047619,0
male,1983,no,no,yes,no,no,No,Control,2021,No,36369,3,21,0.3333333,0.9047619,0
male,1962,yes,no,yes,yes,no,Yes,Control,2021,No,36369,3,21,0.3333333,0.9047619,0
male,1944,yes,yes,yes,no,no,No,Control,2021,No,36370,3,21,0.5238096,1,0
female,1952,yes,yes,yes,no,yes,Yes,Control,2021,Yes,36370,3,21,0.5238096,1,1
male,1981,yes,no,yes,no,yes,No,Control,2021,No,36370,3,21,0.5238096,1,0
male,1946,yes,yes,yes,no,yes,No,Control,2021,No,36371,1,21,0.4285714,0.952381,0
male,1961,yes,yes,yes,no,no,No,Control,2021,No,36372,2,21,0.4285714,0.952381,0
female,1964,yes,yes,yes,no,no,No,Control,2021,No,36372,2,21,0.4285714,0.952381,0
female,1948,no,yes,yes,no,yes,Yes,Neighbors,2021,No,36373,2,21,0.6190476,0.952381,0
male,1945,yes,yes,yes,no,no,Yes,Neighbors,2021,No,36373,2,21,0.6190476,0.952381,0
female,1963,yes,yes,yes,no,no,No,Self,2021,Yes,36374,2,21,0.3333333,0.952381,1
male,1961,yes,yes,yes,no,no,No,Self,2021,Yes,36374,2,21,0.3333333,0.952381,1
female,1947,no,yes,yes,no,yes,No,Self,2021,No,36375,2,21,0.3333333,0.952381,0
male,1943,yes,yes,yes,no,yes,Yes,Self,2021,No,36375,2,21,0.3333333,0.952381,0
male,1953,yes,yes,yes,no,yes,Yes,Control,2021,Yes,36376,1,21,0.3809524,0.952381,1
female,1957,yes,yes,yes,no,no,Yes,Control,2021,No,36377,1,21,0.3809524,0.952381,0
female,1980,yes,yes,yes,no,yes,No,Civic Duty,2021,Yes,36378,2,21,0.3809524,0.952381,1
female,1952,yes,yes,yes,yes,yes,Yes,Civic Duty,2021,Yes,36378,2,21,0.3809524,0.952381,1
female,1970,yes,yes,yes,no,yes,Yes,Control,2067,No,37189,1,21,0.4761905,0.952381,0
male,1985,no,no,yes,no,no,No,Civic Duty,2067,No,37190,3,21,0.4761905,0.952381,0
female,1955,yes,yes,yes,no,yes,Yes,Civic Duty,2067,Yes,37190,3,21,0.4761905,0.952381,1
male,1983,no,yes,yes,no,yes,No,Civic Duty,2067,No,37190,3,21,0.4761905,0.952381,0
male,1953,yes,yes,yes,no,yes,No,Control,2067,Yes,37191,2,21,0.4285714,0.9047619,1
male,1958,no,no,yes,no,no,Yes,Control,2067,No,37191,2,21,0.4285714,0.9047619,0
female,1968,yes,no,yes,no,no,No,Neighbors,2067,Yes,37192,2,21,0.4761905,0.952381,1
male,1966,yes,yes,yes,no,no,Yes,Neighbors,2067,Yes,37192,2,21,0.4761905,0.952381,1
male,1982,no,yes,yes,no,yes,No,Control,2067,No,37193,2,21,0.4761905,0.952381,0
male,1980,yes,yes,yes,no,yes,No,Control,2067,Yes,37193,2,21,0.4761905,0.952381,1
male,1968,yes,no,yes,no,no,No,Neighbors,2067,No,37194,2,21,0.5714286,0.952381,0
female,1969,yes,yes,yes,no,no,Yes,Neighbors,2067,No,37194,2,21,0.5714286,0.952381,0
female,1962,yes,yes,yes,no,no,No,Control,2067,No,37195,2,21,0.4761905,0.952381,0
male,1958,yes,yes,yes,no,no,No,Control,2067,Yes,37195,2,21,0.4761905,0.952381,1
male,1921,yes,yes,yes,no,yes,No,Control,2067,Yes,37196,2,21,0.2380952,0.8095238,1
female,1929,yes,yes,yes,no,yes,No,Control,2067,Yes,37196,2,21,0.2380952,0.8095238,1
female,1950,yes,yes,yes,no,yes,No,Self,2067,No,37197,1,21,0.2380952,0.8095238,0
female,1954,yes,yes,yes,yes,no,No,Control,2067,Yes,37198,1,21,0.2380952,0.8095238,1
female,1938,yes,yes,yes,no,yes,Yes,Control,2067,Yes,37199,2,21,0.2857143,1,1
male,1938,yes,yes,yes,no,yes,Yes,Control,2067,No,37199,2,21,0.2857143,1,0
female,1943,yes,yes,yes,yes,yes,No,Civic Duty,2067,Yes,37200,2,21,0.1428571,1,1
male,1938,yes,yes,yes,yes,yes,No,Civic Duty,2067,Yes,37200,2,21,0.1428571,1,1
female,1938,yes,yes,yes,no,yes,No,Self,2067,No,37201,2,21,0.1428571,1,0
male,1935,yes,yes,yes,no,yes,No,Self,2067,No,37201,2,21,0.1428571,1,0
male,1947,yes,yes,yes,no,no,No,Control,2067,No,37202,2,21,0.5238096,0.952381,0
female,1949,yes,yes,yes,no,no,Yes,Control,2067,No,37202,2,21,0.5238096,0.952381,0
male,1960,yes,yes,yes,yes,no,No,Hawthorne,2067,Yes,37203,1,21,0.5238096,1,1
male,1985,no,no,yes,no,no,Yes,Hawthorne,2067,No,37204,3,21,0.5714286,0.8095238,0
female,1956,yes,yes,yes,no,no,No,Hawthorne,2067,Yes,37204,3,21,0.5714286,0.8095238,1
female,1986,no,no,yes,no,no,No,Hawthorne,2067,No,37204,3,21,0.5714286,0.8095238,0
male,1966,yes,yes,yes,yes,yes,Yes,Control,2067,No,37205,2,21,0.5238096,0.952381,0
female,1967,yes,yes,yes,yes,no,No,Control,2067,No,37205,2,21,0.5238096,0.952381,0
male,1959,yes,yes,yes,no,yes,No,Control,2067,No,37206,2,21,0.5238096,1,0
female,1963,yes,yes,yes,no,yes,No,Control,2067,Yes,37206,2,21,0.5238096,1,1
male,1956,yes,yes,yes,no,no,No,Civic Duty,2070,Yes,37243,2,21,0.1428571,0.952381,1
female,1953,yes,yes,yes,no,no,No,Civic Duty,2070,Yes,37243,2,21,0.1428571,0.952381,1
female,1965,no,yes,yes,no,no,No,Hawthorne,2070,No,37244,2,21,0.1428571,0.9047619,0
male,1960,yes,yes,yes,no,yes,Yes,Hawthorne,2070,Yes,37244,2,21,0.1428571,0.9047619,1
female,1947,yes,yes,yes,no,yes,No,Civic Duty,2070,No,37245,1,21,0.1428571,0.9047619,0
male,1944,yes,yes,yes,no,no,No,Control,2070,Yes,37246,1,21,0.1428571,0.9047619,1
male,1962,yes,no,yes,no,no,Yes,Control,2070,No,37247,2,21,0.3333333,0.9047619,0
female,1961,yes,yes,yes,no,no,Yes,Control,2070,No,37247,2,21,0.3333333,0.9047619,0
male,1934,yes,yes,yes,yes,no,Yes,Self,2070,Yes,37248,2,21,0.2380952,0.9047619,1
female,1957,yes,yes,yes,no,no,No,Self,2070,Yes,37248,2,21,0.2380952,0.9047619,1
male,1958,yes,yes,yes,no,no,No,Control,2070,Yes,37249,2,21,0.2380952,0.9047619,1
female,1956,no,no,yes,no,no,No,Control,2070,Yes,37249,2,21,0.2380952,0.9047619,1
female,1985,no,no,yes,no,no,No,Control,2070,No,37250,3,21,0.2857143,0.9047619,0
male,1949,yes,yes,yes,no,no,No,Control,2070,No,37250,3,21,0.2857143,0.9047619,0
female,1950,yes,yes,yes,no,no,No,Control,2070,No,37250,3,21,0.2857143,0.9047619,0
male,1986,no,no,yes,no,no,No,Control,2070,No,37251,4,21,0.1904762,1,0
female,1956,yes,yes,yes,no,yes,No,Control,2070,No,37251,4,21,0.1904762,1,0
male,1955,yes,no,yes,no,yes,No,Control,2070,No,37251,4,21,0.1904762,1,0
female,1983,no,no,yes,no,yes,No,Control,2070,No,37251,4,21,0.1904762,1,0
male,1956,yes,yes,yes,no,yes,No,Control,2070,No,37252,2,21,0.1904762,1,0
female,1957,no,no,yes,no,no,No,Control,2070,No,37252,2,21,0.1904762,1,0
male,1920,yes,yes,yes,yes,yes,No,Self,2070,Yes,37253,1,21,0.1904762,1,1
male,1952,yes,yes,yes,no,yes,No,Hawthorne,2070,Yes,37254,2,21,0.1428571,0.8095238,1
female,1956,yes,yes,yes,no,yes,No,Hawthorne,2070,No,37254,2,21,0.1428571,0.8095238,0
female,1953,yes,yes,yes,no,no,No,Control,2070,No,37255,3,21,0.0952381,1,0
female,1983,no,no,yes,no,no,No,Control,2070,No,37255,3,21,0.0952381,1,0
male,1955,yes,yes,yes,no,no,No,Control,2070,No,37255,3,21,0.0952381,1,0
male,1948,yes,no,yes,no,yes,No,Neighbors,2070,No,37256,2,21,0.2857143,0.952381,0
male,1983,no,no,yes,no,no,No,Neighbors,2070,No,37256,2,21,0.2857143,0.952381,0
male,1938,yes,yes,yes,no,no,No,Control,2070,No,37257,2,21,0.2380952,1,0
female,1941,yes,yes,yes,yes,yes,Yes,Control,2070,Yes,37257,2,21,0.2380952,1,1
female,1960,yes,yes,yes,yes,no,No,Control,2070,Yes,37258,2,21,0.0952381,1,1
male,1957,yes,yes,yes,no,no,No,Control,2070,No,37258,2,21,0.0952381,1,0
female,1951,yes,yes,yes,yes,yes,No,Neighbors,2070,No,37259,1,21,0.2857143,0.952381,0
female,1973,no,no,yes,no,no,Yes,Control,2070,No,37260,2,21,0.3809524,1,0
male,1960,no,no,yes,no,no,Yes,Control,2070,No,37260,2,21,0.3809524,1,0
female,1971,no,no,yes,no,no,No,Civic Duty,2073,No,37297,2,21,0.0952381,0.8571429,0
male,1938,yes,yes,yes,no,no,No,Civic Duty,2073,No,37297,2,21,0.0952381,0.8571429,0
female,1972,yes,no,yes,yes,no,No,Control,2073,No,37298,4,21,0.3809524,1,0
female,1943,yes,yes,yes,yes,yes,Yes,Control,2073,Yes,37298,4,21,0.3809524,1,1
male,1975,yes,yes,yes,yes,yes,No,Control,2073,Yes,37298,4,21,0.3809524,1,1
male,1941,yes,yes,yes,yes,yes,Yes,Control,2073,Yes,37298,4,21,0.3809524,1,1
male,1952,yes,no,yes,no,no,No,Control,2073,Yes,37299,3,21,0.3809524,1,1
female,1984,no,yes,yes,no,no,Yes,Control,2073,No,37299,3,21,0.3809524,1,0
female,1956,yes,yes,yes,yes,no,Yes,Control,2073,Yes,37299,3,21,0.3809524,1,1
male,1950,yes,yes,yes,no,no,No,Control,2073,No,37300,3,21,0.1904762,1,0
male,1981,yes,no,yes,no,no,No,Control,2073,No,37300,3,21,0.1904762,1,0
female,1952,yes,yes,yes,no,no,No,Control,2073,No,37300,3,21,0.1904762,1,0
male,1960,yes,no,yes,no,no,No,Control,2073,No,37301,2,21,0.1428571,0.952381,0
female,1961,yes,yes,yes,no,yes,No,Control,2073,No,37301,2,21,0.1428571,0.952381,0
male,1945,yes,yes,yes,no,no,No,Hawthorne,2073,Yes,37302,2,21,0.1904762,1,1
female,1942,yes,yes,yes,no,no,No,Hawthorne,2073,Yes,37302,2,21,0.1904762,1,1
male,1944,yes,yes,yes,no,yes,No,Civic Duty,2073,Yes,37303,2,21,0.1428571,1,1
female,1946,yes,yes,yes,no,yes,No,Civic Duty,2073,Yes,37303,2,21,0.1428571,1,1
female,1952,yes,yes,yes,no,yes,No,Hawthorne,2073,Yes,37304,1,21,0.0952381,1,1
male,1951,no,yes,yes,no,yes,No,Self,2073,Yes,37305,1,21,0.0952381,1,1
male,1980,no,no,yes,no,no,No,Control,2073,No,37306,2,21,0.2380952,0.9047619,0
male,1947,yes,yes,yes,no,yes,No,Control,2073,No,37306,2,21,0.2380952,0.9047619,0
male,1968,no,no,yes,no,no,No,Control,2073,No,37307,3,21,0.2380952,0.9047619,0
female,1941,yes,yes,yes,yes,no,Yes,Control,2073,No,37307,3,21,0.2380952,0.9047619,0
male,1940,yes,no,yes,yes,no,Yes,Control,2073,No,37307,3,21,0.2380952,0.9047619,0
male,1947,yes,yes,yes,no,yes,No,Control,2073,No,37308,4,21,0.2857143,0.9047619,0
female,1954,yes,yes,yes,no,yes,No,Control,2073,No,37308,4,21,0.2857143,0.9047619,0
male,1986,no,no,yes,no,no,No,Control,2073,No,37308,4,21,0.2857143,0.9047619,0
female,1982,yes,no,yes,no,no,No,Control,2073,No,37308,4,21,0.2857143,0.9047619,0
male,1947,yes,yes,yes,no,no,No,Control,2073,No,37309,2,21,0.0952381,1,0
female,1947,yes,yes,yes,no,no,No,Control,2073,No,37309,2,21,0.0952381,1,0
male,1947,yes,yes,yes,no,no,No,Neighbors,2073,No,37310,2,21,0.047619,0.952381,0
female,1947,yes,yes,yes,no,yes,No,Neighbors,2073,No,37310,2,21,0.047619,0.952381,0
male,1940,yes,yes,yes,yes,yes,No,Control,2073,Yes,37311,1,21,0.047619,0.952381,1
male,1965,yes,yes,yes,no,yes,No,Control,2073,No,37312,1,21,0.047619,0.952381,0
female,1978,yes,yes,yes,no,yes,Yes,Self,2073,No,37313,4,21,0.3809524,1,0
female,1981,yes,yes,yes,no,no,Yes,Self,2073,No,37313,4,21,0.3809524,1,0
female,1945,yes,yes,yes,no,yes,No,Self,2073,Yes,37313,4,21,0.3809524,1,1
male,1945,yes,yes,yes,yes,yes,Yes,Self,2073,Yes,37313,4,21,0.3809524,1,1
male,1983,no,no,yes,no,no,No,Neighbors,2073,No,37314,2,21,0.3333333,0.952381,0
male,1946,yes,yes,yes,no,yes,No,Neighbors,2073,No,37314,2,21,0.3333333,0.952381,0
female,1970,yes,yes,yes,no,yes,No,Civic Duty,2119,Yes,38125,2,21,0.2380952,0.952381,1
male,1969,yes,yes,yes,no,yes,Yes,Civic Duty,2119,Yes,38125,2,21,0.2380952,0.952381,1
female,1936,yes,yes,yes,no,yes,No,Control,2119,No,38126,1,21,0.3333333,0.952381,0
male,1916,yes,yes,yes,yes,no,No,Self,2119,No,38127,2,21,0.1904762,1,0
female,1920,yes,yes,yes,yes,no,No,Self,2119,No,38127,2,21,0.1904762,1,0
male,1948,yes,yes,yes,no,no,No,Control,2119,No,38128,2,21,0.2380952,1,0
female,1950,yes,yes,yes,no,yes,No,Control,2119,Yes,38128,2,21,0.2380952,1,1
female,1965,yes,yes,yes,no,yes,No,Hawthorne,2119,No,38129,2,21,0.2857143,1,0
male,1963,yes,yes,yes,no,no,No,Hawthorne,2119,No,38129,2,21,0.2857143,1,0
male,1977,yes,no,yes,no,no,No,Neighbors,2119,No,38130,4,21,0.3333333,0.952381,0
male,1953,yes,yes,yes,no,no,No,Neighbors,2119,Yes,38130,4,21,0.3333333,0.952381,1
male,1978,yes,yes,yes,no,no,Yes,Neighbors,2119,No,38130,4,21,0.3333333,0.952381,0
female,1953,yes,no,yes,no,no,Yes,Neighbors,2119,Yes,38130,4,21,0.3333333,0.952381,1
male,1943,yes,yes,yes,no,yes,No,Control,2119,Yes,38131,2,21,0.3333333,0.952381,1
female,1949,yes,yes,yes,no,yes,No,Control,2119,Yes,38131,2,21,0.3333333,0.952381,1
female,1955,yes,yes,yes,no,yes,No,Civic Duty,2119,No,38132,2,21,0.3333333,0.952381,0
male,1952,yes,no,yes,no,no,No,Civic Duty,2119,No,38132,2,21,0.3333333,0.952381,0
female,1967,yes,yes,yes,no,no,No,Control,2119,No,38133,2,21,0.1904762,1,0
male,1965,yes,yes,yes,no,yes,No,Control,2119,No,38133,2,21,0.1904762,1,0
male,1946,yes,no,yes,no,yes,No,Self,2119,No,38134,1,21,0.1428571,1,0
female,1947,yes,yes,yes,no,no,No,Control,2119,No,38135,2,21,0.2857143,0.952381,0
female,1970,yes,yes,yes,no,no,No,Control,2119,No,38135,2,21,0.2857143,0.952381,0
female,1960,yes,yes,yes,no,yes,No,Control,2119,Yes,38136,3,21,0.3333333,1,1
female,1936,yes,yes,yes,yes,yes,Yes,Control,2119,Yes,38136,3,21,0.3333333,1,1
female,1959,yes,yes,yes,yes,yes,No,Control,2119,Yes,38136,3,21,0.3333333,1,1
female,1930,yes,yes,yes,yes,yes,No,Control,2119,Yes,38137,2,21,0.3809524,0.952381,1
male,1928,yes,yes,yes,yes,yes,Yes,Control,2119,Yes,38137,2,21,0.3809524,0.952381,1
male,1941,yes,yes,yes,yes,no,Yes,Hawthorne,2119,No,38138,2,21,0.2380952,0.952381,0
female,1943,yes,yes,yes,yes,no,Yes,Hawthorne,2119,No,38138,2,21,0.2380952,0.952381,0
male,1951,yes,yes,yes,yes,yes,No,Control,2119,Yes,38139,2,21,0.2857143,0.952381,1
female,1966,yes,no,yes,yes,no,No,Control,2119,No,38139,2,21,0.2857143,0.952381,0
female,1959,yes,yes,yes,yes,yes,No,Neighbors,2119,Yes,38140,2,21,0.0952381,0.8571429,1
male,1945,yes,yes,yes,no,yes,No,Neighbors,2119,Yes,38140,2,21,0.0952381,0.8571429,1
male,1955,yes,yes,yes,yes,yes,No,Control,2119,No,38141,1,21,0.1428571,0.8571429,0
male,1971,yes,yes,yes,yes,yes,No,Control,2119,Yes,38142,2,21,0.1428571,0.952381,1
female,1972,yes,yes,yes,yes,yes,No,Control,2119,Yes,38142,2,21,0.1428571,0.952381,1
male,1963,yes,yes,yes,no,yes,No,Control,2172,No,39079,1,21,0.1904762,0.9047619,0
female,1966,yes,yes,yes,no,yes,No,Civic Duty,2172,No,39080,1,21,0.1904762,0.9047619,0
female,1964,yes,yes,yes,no,no,No,Hawthorne,2172,Yes,39081,2,21,0.1904762,1,1
female,1939,yes,yes,yes,no,no,No,Hawthorne,2172,Yes,39081,2,21,0.1904762,1,1
female,1962,yes,yes,yes,no,yes,No,Control,2172,No,39082,1,21,0.1904762,1,0
female,1948,yes,yes,yes,no,no,No,Control,2172,No,39083,2,21,0.1904762,1,0
male,1946,yes,yes,yes,no,yes,No,Control,2172,No,39083,2,21,0.1904762,1,0
male,1932,yes,yes,yes,no,yes,No,Control,2172,No,39084,2,21,0.1904762,0.9047619,0
female,1944,yes,yes,yes,no,no,No,Control,2172,No,39084,2,21,0.1904762,0.9047619,0
male,1958,no,yes,yes,no,yes,No,Control,2172,No,39085,2,21,0.1904762,0.9047619,0
female,1966,no,yes,yes,no,yes,No,Control,2172,No,39085,2,21,0.1904762,0.9047619,0
female,1967,no,no,yes,no,no,Yes,Neighbors,2172,Yes,39086,2,21,0.2380952,0.9047619,1
male,1965,no,no,yes,no,no,Yes,Neighbors,2172,Yes,39086,2,21,0.2380952,0.9047619,1
female,1970,yes,yes,yes,no,yes,No,Self,2172,No,39087,1,21,0.1428571,0.8095238,0
male,1957,yes,yes,yes,no,yes,No,Control,2172,No,39088,1,21,0.0952381,0.952381,0
female,1952,yes,yes,yes,no,no,No,Hawthorne,2172,No,39089,2,21,0.0952381,0.9047619,0
male,1943,yes,no,yes,no,no,No,Hawthorne,2172,No,39089,2,21,0.0952381,0.9047619,0
female,1949,yes,yes,yes,no,yes,No,Control,2172,No,39090,1,21,0.047619,1,0
female,1949,yes,yes,yes,no,yes,No,Neighbors,2172,No,39091,2,21,0.047619,0.952381,0
male,1949,yes,yes,yes,no,yes,No,Neighbors,2172,No,39091,2,21,0.047619,0.952381,0
male,1964,no,yes,yes,no,yes,No,Control,2172,No,39092,2,21,0.1428571,0.9047619,0
female,1959,yes,yes,yes,no,yes,No,Control,2172,No,39092,2,21,0.1428571,0.9047619,0
male,1954,yes,yes,yes,no,no,No,Self,2172,No,39093,2,21,0.0952381,0.9047619,0
female,1960,yes,yes,yes,no,no,No,Self,2172,No,39093,2,21,0.0952381,0.9047619,0
male,1970,yes,no,yes,no,yes,No,Control,2172,No,39094,2,21,0.1428571,0.9047619,0
female,1944,yes,yes,yes,no,yes,No,Control,2172,No,39094,2,21,0.1428571,0.9047619,0
male,1946,yes,yes,yes,yes,yes,No,Control,2172,Yes,39095,2,21,0.2380952,0.9047619,1
female,1950,yes,yes,yes,no,yes,No,Control,2172,Yes,39095,2,21,0.2380952,0.9047619,1
male,1959,yes,no,yes,no,no,No,Civic Duty,2172,Yes,39096,2,21,0.047619,0.9047619,1
female,1958,yes,yes,yes,no,no,No,Civic Duty,2172,No,39096,2,21,0.047619,0.9047619,0
female,1957,yes,yes,yes,no,no,No,Control,2183,No,39277,2,21,0.047619,1,0
male,1963,yes,yes,yes,no,yes,Yes,Control,2183,No,39277,2,21,0.047619,1,0
male,1955,yes,yes,yes,no,yes,Yes,Control,2183,Yes,39278,2,21,0.1428571,0.8571429,1
female,1961,yes,yes,yes,no,no,Yes,Control,2183,No,39278,2,21,0.1428571,0.8571429,0
female,1954,yes,yes,yes,yes,yes,No,Neighbors,2183,No,39279,2,21,0.1428571,0.8571429,0
male,1955,yes,yes,yes,no,yes,No,Neighbors,2183,No,39279,2,21,0.1428571,0.8571429,0
male,1955,yes,yes,yes,no,no,No,Hawthorne,2183,No,39280,1,21,0.0952381,0.952381,0
female,1964,yes,yes,yes,no,no,No,Control,2183,Yes,39281,2,21,0.0952381,1,1
male,1963,yes,no,yes,no,no,No,Control,2183,No,39281,2,21,0.0952381,1,0
male,1946,yes,yes,yes,yes,yes,No,Civic Duty,2183,No,39282,2,21,0.0952381,0.952381,0
female,1948,yes,yes,yes,no,yes,No,Civic Duty,2183,No,39282,2,21,0.0952381,0.952381,0
male,1942,yes,yes,yes,no,yes,No,Neighbors,2183,Yes,39283,2,21,0.0952381,0.9047619,1
female,1941,yes,yes,yes,no,yes,No,Neighbors,2183,Yes,39283,2,21,0.0952381,0.9047619,1
female,1963,yes,yes,yes,no,yes,No,Hawthorne,2183,Yes,39284,1,21,0,0.9047619,1
female,1962,yes,yes,yes,no,yes,No,Control,2183,No,39285,2,21,0.0952381,1,0
male,1958,yes,yes,yes,no,yes,No,Control,2183,No,39285,2,21,0.0952381,1,0
male,1967,yes,yes,yes,no,no,Yes,Control,2183,No,39286,2,21,0.0952381,0.952381,0
female,1967,yes,yes,yes,no,no,Yes,Control,2183,No,39286,2,21,0.0952381,0.952381,0
male,1960,yes,yes,yes,no,yes,No,Civic Duty,2183,Yes,39287,1,21,0.0952381,0.952381,1
female,1960,yes,yes,yes,no,yes,No,Control,2183,Yes,39288,1,21,0.0952381,0.952381,1
male,1957,yes,yes,yes,no,no,No,Control,2183,No,39289,2,21,0,0.9047619,0
female,1959,yes,no,yes,yes,no,No,Control,2183,No,39289,2,21,0,0.9047619,0
female,1955,yes,no,yes,no,yes,No,Control,2183,No,39290,2,21,0.0952381,0.9047619,0
male,1956,yes,yes,yes,no,yes,No,Control,2183,No,39290,2,21,0.0952381,0.9047619,0
female,1969,yes,yes,yes,no,yes,No,Self,2183,Yes,39291,2,21,0,0.9047619,1
male,1965,no,no,yes,no,no,No,Self,2183,Yes,39291,2,21,0,0.9047619,1
male,1944,yes,yes,yes,no,no,No,Self,2183,Yes,39292,1,21,0,1,1
male,1961,no,yes,yes,no,no,No,Control,2183,No,39293,1,21,0,0.952381,0
male,1965,yes,yes,yes,no,yes,No,Control,2183,No,39294,2,21,0,0.952381,0
female,1965,yes,yes,yes,no,yes,No,Control,2183,No,39294,2,21,0,0.952381,0
female,1968,yes,yes,yes,no,no,No,Civic Duty,2212,No,39799,2,21,0.1904762,0.9047619,0
male,1966,yes,yes,yes,no,no,No,Civic Duty,2212,No,39799,2,21,0.1904762,0.9047619,0
female,1948,yes,yes,yes,no,no,No,Neighbors,2212,Yes,39800,1,21,0.0952381,0.8571429,1
female,1931,yes,yes,yes,yes,yes,No,Control,2212,Yes,39801,3,21,0.1428571,0.9047619,1
female,1958,no,no,yes,no,no,No,Control,2212,No,39801,3,21,0.1428571,0.9047619,0
male,1929,yes,yes,yes,yes,yes,No,Control,2212,Yes,39801,3,21,0.1428571,0.9047619,1
female,1971,no,yes,yes,no,yes,No,Control,2212,Yes,39802,2,21,0.2380952,0.952381,1
male,1964,no,yes,yes,no,yes,No,Control,2212,Yes,39802,2,21,0.2380952,0.952381,1
male,1947,yes,yes,yes,no,yes,No,Control,2212,Yes,39803,2,21,0.6190476,0.952381,1
male,1969,no,no,yes,no,no,No,Control,2212,No,39803,2,21,0.6190476,0.952381,0
female,1973,yes,no,yes,no,yes,Yes,Control,2212,Yes,39804,2,21,0.6190476,1,1
male,1971,yes,yes,yes,no,yes,Yes,Control,2212,Yes,39804,2,21,0.6190476,1,1
male,1937,yes,yes,yes,no,no,No,Control,2212,No,39805,2,21,0.3333333,0.952381,0
female,1939,yes,yes,yes,no,no,No,Control,2212,No,39805,2,21,0.3333333,0.952381,0
male,1945,yes,yes,yes,no,yes,No,Self,2212,Yes,39806,1,21,0.3333333,0.952381,1
female,1970,yes,yes,yes,yes,yes,No,Control,2212,Yes,39807,2,21,0.1428571,1,1
male,1971,yes,yes,yes,no,yes,No,Control,2212,No,39807,2,21,0.1428571,1,0
male,1962,yes,yes,yes,no,no,No,Control,2212,No,39808,2,21,0.047619,1,0
female,1964,yes,no,yes,no,no,No,Control,2212,No,39808,2,21,0.047619,1,0
female,1972,yes,yes,yes,no,yes,No,Control,2212,No,39809,2,21,0.1428571,1,0
male,1972,yes,yes,yes,no,no,No,Control,2212,No,39809,2,21,0.1428571,1,0
male,1959,yes,yes,yes,no,no,No,Neighbors,2212,Yes,39810,2,21,0.1428571,1,1
female,1958,yes,yes,yes,no,yes,No,Neighbors,2212,Yes,39810,2,21,0.1428571,1,1
male,1968,yes,yes,yes,no,yes,No,Hawthorne,2212,Yes,39811,2,21,0.3809524,0.952381,1
female,1969,yes,yes,yes,no,no,No,Hawthorne,2212,Yes,39811,2,21,0.3809524,0.952381,1
male,1948,yes,yes,yes,no,no,Yes,Control,2212,Yes,39812,1,21,0.3333333,0.952381,1
male,1965,yes,yes,yes,no,no,Yes,Self,2212,Yes,39813,2,21,0.3333333,0.952381,1
female,1965,yes,yes,yes,no,no,No,Self,2212,Yes,39813,2,21,0.3333333,0.952381,1
female,1962,yes,yes,yes,yes,yes,No,Control,2212,No,39814,2,21,0.2857143,0.952381,0
male,1961,yes,yes,yes,yes,yes,No,Control,2212,No,39814,2,21,0.2857143,0.952381,0
female,1967,yes,yes,yes,no,no,No,Civic Duty,2212,Yes,39815,2,21,0.1428571,1,1
male,1967,yes,yes,yes,no,yes,No,Civic Duty,2212,Yes,39815,2,21,0.1428571,1,1
male,1946,yes,yes,yes,no,no,No,Hawthorne,2212,No,39816,1,21,0.3809524,0.952381,0
